Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
7.792412500E-1,-3.51E-02,4.040271065E-1,-8.72E-01,9.619457901E-1,0.00E+00
7.892422500E-1,2.017640233E-2,6.275620678E-1,-9.14E-01,1.108725680E0,0.00E+00
7.992432500E-1,1.017012066E-1,8.189276952E-1,-7.85E-01,1.138672104E0,0.00E+00
8.092432500E-1,1.957478231E-1,8.726519126E-1,-7.15E-01,1.145113891E0,0.00E+00
8.192442500E-1,2.272245544E-1,8.941714203E-1,-8.59E-01,1.260637812E0,0.00E+00
8.292442500E-1,1.930563498E-1,9.790019479E-1,-9.52E-01,1.379460461E0,0.00E+00
8.392452500E-1,1.635612398E-1,1.137424070E0,-1.04E+00,1.550772148E0,0.00E+00
8.492452500E-1,1.531619668E-1,1.289044418E0,-1.08E+00,1.686596219E0,0.00E+00
8.592462500E-1,2.687567425E-1,1.379964821E0,-1.16E+00,1.822470115E0,0.00E+00
8.692462500E-1,4.847815400E-1,1.293122559E0,-1.17E+00,1.807913801E0,0.00E+00
8.792464583E-1,7.371953148E-1,1.092891968E0,-1.13E+00,1.733278530E0,0.00E+00
8.892464583E-1,8.341205156E-1,9.175573593E-1,-1.06E+00,1.633862407E0,0.00E+00
8.992474583E-1,9.804681373E-1,6.776016623E-1,-9.53E-01,1.525727628E0,0.00E+00
9.092484583E-1,1.148721183E0,4.821900541E-1,-8.98E-01,1.535800705E0,0.00E+00
9.192484583E-1,1.143527686E0,5.091688147E-1,-9.09E-01,1.546849454E0,0.00E+00
9.292494583E-1,1.067375304E0,7.314083254E-1,-9.59E-01,1.610622160E0,0.00E+00
9.392494583E-1,1.222130052E0,1.044818792E0,-1.07E+00,1.929474893E0,0.00E+00
9.492504583E-1,1.429658260E0,1.391856304E0,-1.25E+00,2.353807819E0,0.00E+00
9.592504583E-1,1.530842573E0,1.669229795E0,-1.38E+00,2.649822659E0,0.00E+00
9.692514583E-1,1.598828734E0,1.792734392E0,-1.36E+00,2.761429508E0,0.00E+00
9.792514583E-1,1.616090299E0,1.775559365E0,-1.23E+00,2.699830173E0,0.00E+00
9.892524583E-1,1.533648652E0,1.625293525E0,-1.03E+00,2.460332757E0,0.00E+00
9.992534583E-1,1.481120775E0,1.478700612E0,-8.26E-01,2.250052294E0,0.00E+00
1.009253458E0,1.336458321E0,1.420538066E0,-6.49E-01,2.055594435E0,0.00E+00
1.019254458E0,1.115557530E0,1.417986048E0,-4.63E-01,1.862787182E0,0.00E+00
1.029254458E0,8.646915132E-1,1.463530596E0,-3.10E-01,1.727897643E0,0.00E+00
1.039255458E0,6.699885875E-1,1.471113850E0,-2.03E-01,1.629158636E0,0.00E+00
1.049255458E0,4.010996979E-1,1.490323415E0,-1.81E-01,1.553934764E0,0.00E+00
1.059256458E0,2.231537229E-1,1.514921190E0,-1.65E-01,1.540095949E0,0.00E+00
1.069256458E0,5.980999947E-2,1.523326854E0,-1.49E-01,1.531730881E0,0.00E+00
1.079257458E0,-7.01E-02,1.498810064E0,-1.33E-01,1.506367499E0,0.00E+00
1.089258458E0,-5.01E-02,1.454690483E0,-1.78E-01,1.466425152E0,0.00E+00
1.099258458E0,-4.52E-02,1.397238666E0,-2.60E-01,1.421857497E0,0.00E+00
1.109259458E0,-1.74E-01,1.282720655E0,-2.26E-01,1.313980798E0,0.00E+00
1.119259458E0,-2.71E-01,1.182083349E0,-1.49E-01,1.221768408E0,0.00E+00
1.129260458E0,-4.25E-01,1.159073094E0,-1.20E-01,1.240387633E0,0.00E+00
1.139260458E0,-5.42E-01,1.151472883E0,-7.73E-02,1.275070557E0,0.00E+00
1.149261458E0,-5.92E-01,1.137710584E0,-6.82E-02,1.284453350E0,0.00E+00
1.159261458E0,-6.61E-01,1.144045165E0,-1.57E-01,1.330569428E0,0.00E+00
1.169262458E0,-7.12E-01,1.123489278E0,-2.23E-01,1.348746074E0,0.00E+00
1.179262458E0,-6.72E-01,1.035177903E0,-2.24E-01,1.254410814E0,0.00E+00
1.189263458E0,-6.18E-01,9.098393270E-1,-2.14E-01,1.120506769E0,0.00E+00
1.199264458E0,-5.57E-01,7.300307214E-1,-1.70E-01,9.337991559E-1,0.00E+00
1.209264458E0,-5.58E-01,5.865736708E-1,-1.68E-01,8.266237663E-1,0.00E+00
1.219265458E0,-5.90E-01,5.243639740E-1,-2.09E-01,8.163605270E-1,0.00E+00
1.229265458E0,-6.22E-01,4.852355763E-1,-2.10E-01,8.163022793E-1,0.00E+00
1.239266458E0,-6.12E-01,3.617705946E-1,-1.99E-01,7.381465608E-1,0.00E+00
1.249266458E0,-6.16E-01,2.138370618E-1,-1.84E-01,6.779019188E-1,0.00E+00
1.259267458E0,-6.60E-01,1.278698355E-1,-1.84E-01,6.967934659E-1,0.00E+00
1.269267458E0,-7.10E-01,8.687047496E-2,-9.13E-02,7.208654828E-1,0.00E+00
1.279268458E0,-7.02E-01,2.045078292E-2,-1.29E-02,7.024783613E-1,0.00E+00
1.289269458E0,-6.15E-01,-4.49E-02,-5.28E-02,6.191884976E-1,0.00E+00
1.299269458E0,-4.88E-01,-1.27E-01,-2.02E-01,5.432983809E-1,0.00E+00
1.309270458E0,-3.63E-01,-2.22E-01,-2.64E-01,5.010642282E-1,0.00E+00
1.319270458E0,-1.99E-01,-2.84E-01,-2.80E-01,4.454916617E-1,0.00E+00
1.329271458E0,-5.48E-02,-3.59E-01,-3.29E-01,4.905415638E-1,0.00E+00
1.339271458E0,1.254116660E-1,-5.18E-01,-3.41E-01,6.325781489E-1,0.00E+00
1.349272458E0,2.583633167E-1,-7.00E-01,-3.13E-01,8.092817185E-1,0.00E+00
1.359272458E0,3.560463166E-1,-8.03E-01,-2.81E-01,9.220634325E-1,0.00E+00
1.369273458E0,6.444064343E-1,-9.75E-01,-3.12E-01,1.209475840E0,0.00E+00
1.379274458E0,1.112268471E0,-1.27E+00,-4.99E-01,1.759983998E0,0.00E+00
1.389274458E0,1.554913806E0,-1.57E+00,-7.59E-01,2.333470488E0,0.00E+00
1.399275458E0,2.063563095E0,-1.76E+00,-1.03E+00,2.897189402E0,0.00E+00
1.409275458E0,2.583461843E0,-1.79E+00,-1.41E+00,3.441085883E0,0.00E+00
1.419276458E0,2.742052950E0,-1.70E+00,-1.69E+00,3.646103891E0,0.00E+00
1.429276458E0,2.525112478E0,-1.55E+00,-1.56E+00,3.344743176E0,0.00E+00
1.439277458E0,2.324083450E0,-1.34E+00,-1.04E+00,2.878682435E0,0.00E+00
1.449277458E0,2.142325090E0,-1.20E+00,-7.18E-01,2.560427243E0,0.00E+00
1.459278458E0,1.981872815E0,-1.21E+00,-7.14E-01,2.431100792E0,0.00E+00
1.469279458E0,1.899127112E0,-1.24E+00,-7.76E-01,2.399674122E0,0.00E+00
1.479279458E0,1.780990552E0,-1.17E+00,-7.53E-01,2.262253079E0,0.00E+00
1.489280458E0,1.466456543E0,-8.96E-01,-6.47E-01,1.836524042E0,0.00E+00
1.499280458E0,1.041031843E0,-5.30E-01,-4.64E-01,1.256840645E0,0.00E+00
1.509281458E0,5.852647716E-1,-2.04E-01,-2.22E-01,6.581627594E-1,0.00E+00
1.519281458E0,2.046928936E-1,5.923638761E-2,-4.81E-03,2.131460870E-1,0.00E+00
1.529282458E0,-7.95E-02,2.742762217E-1,1.049104509E-1,3.042201302E-1,0.00E+00
1.539282458E0,-3.06E-01,4.515597072E-1,1.191940293E-1,5.582708857E-1,0.00E+00
1.549283458E0,-4.33E-01,5.029158023E-1,8.810262948E-2,6.694384463E-1,0.00E+00
1.559284458E0,-5.10E-01,5.224069110E-1,5.957757264E-2,7.325491448E-1,0.00E+00
1.569284458E0,-5.59E-01,5.147406265E-1,-1.64E-02,7.604273483E-1,0.00E+00
1.579285458E0,-6.18E-01,4.703962201E-1,-1.39E-01,7.890186865E-1,0.00E+00
1.589285458E0,-6.77E-01,4.302384201E-1,-1.64E-01,8.184627614E-1,0.00E+00
1.599286458E0,-7.46E-01,4.199344566E-1,-1.53E-01,8.693930437E-1,0.00E+00
1.609286458E0,-7.82E-01,3.782034633E-1,-1.32E-01,8.786958988E-1,0.00E+00
1.619287458E0,-8.33E-01,3.059839180E-1,-1.00E-01,8.929349862E-1,0.00E+00
1.629287458E0,-7.99E-01,1.597234198E-1,-6.52E-02,8.176335706E-1,0.00E+00
1.639288458E0,-7.50E-01,2.441154063E-2,-6.05E-02,7.525836254E-1,0.00E+00
1.649289458E0,-8.68E-01,9.361129135E-2,-3.53E-02,8.733531012E-1,0.00E+00
1.659289458E0,-9.83E-01,2.939523947E-1,1.566469073E-2,1.026226141E0,0.00E+00
1.669290458E0,-1.15E+00,4.932366139E-1,8.365523726E-2,1.251365054E0,0.00E+00
1.679290458E0,-1.29E+00,7.088436279E-1,2.048747420E-1,1.487739754E0,0.00E+00
1.689291458E0,-1.48E+00,9.118232873E-1,3.298844120E-1,1.768648381E0,0.00E+00
1.699291458E0,-1.64E+00,1.138440901E0,4.599443221E-1,2.045633627E0,0.00E+00
1.709292458E0,-1.73E+00,1.297082001E0,6.277076635E-1,2.249497521E0,0.00E+00
1.719293458E0,-1.72E+00,1.414265465E0,7.492399943E-1,2.350184259E0,0.00E+00
1.729293458E0,-1.65E+00,1.476948202E0,7.819911262E-1,2.349334447E0,0.00E+00
1.739294458E0,-1.52E+00,1.498323868E0,8.264361048E-1,2.287139963E0,0.00E+00
1.749294458E0,-1.28E+00,1.543622248E0,7.884584391E-1,2.155249472E0,0.00E+00
1.759295458E0,-1.11E+00,1.712573451E0,6.966460437E-1,2.154789436E0,0.00E+00
1.769295458E0,-9.92E-01,1.813926163E0,3.632220197E-1,2.098907872E0,0.00E+00
1.779296458E0,-7.89E-01,1.983461503E0,-1.44E-01,2.139636149E0,0.00E+00
1.789296458E0,-7.86E-01,2.305546607E0,4.769070947E-1,2.482012830E0,0.00E+00
1.799297458E0,-1.06E+00,2.021005306E0,1.154252941E0,2.557601393E0,0.00E+00
1.809298458E0,-9.44E-01,2.095113502E0,8.006104150E-1,2.433343909E0,0.00E+00
1.819298458E0,-8.50E-01,2.270034712E0,7.128796685E-1,2.526756891E0,0.00E+00
1.829299458E0,-8.21E-01,2.378257903E0,7.924547186E-1,2.637728373E0,0.00E+00
1.839299458E0,-6.65E-01,2.513453715E0,8.898023808E-1,2.748064290E0,0.00E+00
1.849300458E0,-3.72E-01,2.493564411E0,9.301139626E-1,2.687280889E0,0.00E+00
1.859300458E0,3.503827035E-2,2.348116676E0,7.676303646E-1,2.470654970E0,0.00E+00
1.869301458E0,6.315308654E-1,2.093414301E0,5.032461700E-1,2.243762772E0,0.00E+00
1.879306125E0,1.331877027E0,1.842821349E0,9.022458404E-2,2.275527942E0,0.00E+00
1.889307125E0,1.904714127E0,1.616393185E0,-1.80E-01,2.504595075E0,0.00E+00
1.899308125E0,2.435816724E0,1.358210548E0,-2.36E-01,2.798845377E0,0.00E+00
1.909308125E0,2.982848892E0,1.313461221E0,-3.63E-01,3.279423901E0,0.00E+00
1.919309125E0,3.435719252E0,1.362703548E0,-4.35E-01,3.721638075E0,0.00E+00
1.929309125E0,4.025125607E0,1.306629335E0,-7.05E-01,4.290267411E0,0.00E+00
1.939310125E0,4.841882231E0,9.260673970E-1,-1.14E+00,5.059601080E0,0.00E+00
1.949310125E0,5.814606900E0,3.241257817E-1,-1.43E+00,5.997563288E0,0.00E+00
1.959311125E0,6.597429793E0,-9.52E-02,-1.53E+00,6.772615010E0,0.00E+00
1.969312125E0,6.965030792E0,-1.61E-01,-1.50E+00,7.126690657E0,0.00E+00
1.979312125E0,7.021355267E0,7.367199361E-2,-1.47E+00,7.173449423E0,0.00E+00
1.989313125E0,6.949912816E0,4.437592292E-1,-1.43E+00,7.109275839E0,0.00E+00
1.999313125E0,6.809372649E0,9.074861151E-1,-1.47E+00,7.025162145E0,0.00E+00
2.009314125E0,6.424458629E0,1.540217414E0,-1.60E+00,6.796989031E0,0.00E+00
2.019314125E0,5.808740973E0,2.328402203E0,-1.67E+00,6.477835200E0,0.00E+00
2.029315125E0,5.178470768E0,2.995621549E0,-1.73E+00,6.226501975E0,0.00E+00
2.039316125E0,4.491365626E0,3.135439001E0,-2.97E+00,6.233004699E0,0.00E+00
2.049316125E0,3.656981401E0,2.558017099E0,-3.48E+00,5.658850470E0,0.00E+00
2.059317125E0,2.923485035E0,2.906777785E0,-1.88E+00,4.529593791E0,0.00E+00
2.069317125E0,2.239823318E0,3.434488998E0,-5.97E-01,4.143592190E0,0.00E+00
2.079318125E0,1.581874732E0,3.071891461E0,-5.88E-01,3.505017379E0,0.00E+00
2.089318125E0,1.630617122E0,2.092061255E0,-4.61E-01,2.692170044E0,0.00E+00
2.099319125E0,1.863159134E0,1.370443507E0,8.192311656E-1,2.453694576E0,0.00E+00
2.109319125E0,1.790690498E0,9.700630170E-1,3.437890908E-1,2.065377848E0,0.00E+00
2.119320125E0,1.907269360E0,8.202035576E-1,-4.45E-02,2.076628888E0,0.00E+00
2.129321125E0,2.103146991E0,2.796600455E-1,-9.81E-01,2.337511915E0,0.00E+00
2.139321125E0,2.165963629E0,-2.64E-01,-9.31E-01,2.372469993E0,0.00E+00
2.149322125E0,1.874630787E0,-1.61E-01,-6.73E-01,1.998319130E0,0.00E+00
2.159322125E0,1.430524233E0,-7.08E-04,-3.58E-01,1.474552181E0,0.00E+00
2.169323125E0,1.105640652E0,-1.64E-01,-9.43E-02,1.121649008E0,0.00E+00
2.179323125E0,9.536680090E-1,-5.25E-01,1.500079787E-1,1.099047316E0,0.00E+00
2.189324125E0,8.541185778E-1,-8.36E-01,3.557372913E-1,1.247296487E0,0.00E+00
2.199325125E0,6.845347059E-1,-9.47E-01,4.819634745E-1,1.263677956E0,0.00E+00
2.209325125E0,4.678023952E-1,-9.98E-01,5.775017157E-1,1.244261171E0,0.00E+00
2.219326125E0,2.846594149E-1,-1.11E+00,6.361545512E-1,1.310770146E0,0.00E+00
2.229326125E0,1.006352592E-1,-1.23E+00,6.076040590E-1,1.373800855E0,0.00E+00
2.239327125E0,-2.06E-01,-1.26E+00,5.647062537E-1,1.393767755E0,0.00E+00
2.249327125E0,-5.33E-01,-1.26E+00,6.038580403E-1,1.497393182E0,0.00E+00
2.259328125E0,-8.27E-01,-1.39E+00,6.896334779E-1,1.757157029E0,0.00E+00
2.269329125E0,-1.05E+00,-1.63E+00,7.442929575E-1,2.079163904E0,0.00E+00
2.279329125E0,-1.30E+00,-1.92E+00,7.346503142E-1,2.429567978E0,0.00E+00
2.289330125E0,-1.53E+00,-2.15E+00,7.762553000E-1,2.753553177E0,0.00E+00
2.299330125E0,-1.82E+00,-2.31E+00,9.204888609E-1,3.075246954E0,0.00E+00
2.309331125E0,-2.04E+00,-2.49E+00,1.003070257E0,3.372293846E0,0.00E+00
2.319331125E0,-2.20E+00,-2.73E+00,9.591573751E-1,3.631343024E0,0.00E+00
2.329332125E0,-2.28E+00,-2.98E+00,8.025563684E-1,3.840403821E0,0.00E+00
2.339333125E0,-2.37E+00,-3.23E+00,6.581251717E-1,4.062739981E0,0.00E+00
2.349333125E0,-2.49E+00,-3.44E+00,6.265981543E-1,4.290900661E0,0.00E+00
2.359334125E0,-2.51E+00,-3.74E+00,6.099350515E-1,4.547390701E0,0.00E+00
2.369334125E0,-2.43E+00,-4.19E+00,5.385203755E-1,4.871194495E0,0.00E+00
2.379335125E0,-2.31E+00,-4.67E+00,3.969183540E-1,5.222001347E0,0.00E+00
2.389335125E0,-2.20E+00,-5.10E+00,2.839229581E-1,5.558838815E0,0.00E+00
2.399336125E0,-2.11E+00,-5.46E+00,1.974294823E-1,5.860418391E0,0.00E+00
2.409337125E0,-2.02E+00,-5.81E+00,1.160301009E-1,6.150958658E0,0.00E+00
2.419337125E0,-1.92E+00,-6.14E+00,4.014376670E-2,6.429839051E0,0.00E+00
2.429338125E0,-1.81E+00,-6.42E+00,-4.14E-02,6.669817130E0,0.00E+00
2.439338125E0,-1.87E+00,-6.52E+00,-8.57E-02,6.784791674E0,0.00E+00
2.449339125E0,-1.99E+00,-6.41E+00,-1.79E-01,6.716848115E0,0.00E+00
2.459339125E0,-2.10E+00,-6.24E+00,-4.31E-01,6.595336723E0,0.00E+00
2.469340125E0,-2.12E+00,-6.06E+00,-7.39E-01,6.468337089E0,0.00E+00
2.479341125E0,-2.03E+00,-6.02E+00,-1.01E+00,6.428543544E0,0.00E+00
2.489341125E0,-1.79E+00,-6.20E+00,-1.24E+00,6.574943566E0,0.00E+00
2.499342125E0,-1.44E+00,-6.50E+00,-1.51E+00,6.831449147E0,0.00E+00
2.509342125E0,-1.13E+00,-6.84E+00,-1.79E+00,7.164230044E0,0.00E+00
2.519343125E0,-9.55E-01,-7.00E+00,-1.87E+00,7.311003238E0,0.00E+00
2.529343125E0,-1.19E+00,-6.68E+00,-1.61E+00,6.975044384E0,0.00E+00
2.539344125E0,-1.60E+00,-5.93E+00,-1.17E+00,6.254425323E0,0.00E+00
2.549345125E0,-1.60E+00,-5.46E+00,-9.71E-01,5.769444832E0,0.00E+00
2.559345125E0,-1.20E+00,-5.28E+00,-1.01E+00,5.506903405E0,0.00E+00
2.569346125E0,-8.79E-01,-5.00E+00,-1.21E+00,5.223687674E0,0.00E+00
2.579346125E0,-6.15E-01,-4.57E+00,-1.37E+00,4.809069235E0,0.00E+00
2.589347125E0,-3.85E-01,-4.07E+00,-1.44E+00,4.336843466E0,0.00E+00
2.599347125E0,-1.70E-01,-3.59E+00,-1.52E+00,3.902002795E0,0.00E+00
2.609348125E0,5.967317462E-2,-3.16E+00,-1.70E+00,3.594428443E0,0.00E+00
2.619349125E0,2.057091397E-1,-2.75E+00,-1.88E+00,3.339853584E0,0.00E+00
2.629349125E0,2.460210139E-1,-2.38E+00,-1.84E+00,3.016205987E0,0.00E+00
2.639350125E0,2.439949536E-1,-2.06E+00,-1.64E+00,2.642764118E0,0.00E+00
2.649350125E0,1.690582073E-1,-1.76E+00,-1.35E+00,2.219241873E0,0.00E+00
2.659351125E0,1.335620999E-2,-1.44E+00,-1.05E+00,1.778121559E0,0.00E+00
2.669352125E0,-2.89E-01,-1.09E+00,-8.58E-01,1.415496509E0,0.00E+00
2.679352125E0,-5.57E-01,-7.74E-01,-7.09E-01,1.188341464E0,0.00E+00
2.689353125E0,-6.93E-01,-5.36E-01,-5.18E-01,1.017781098E0,0.00E+00
2.699353125E0,-7.97E-01,-3.21E-01,-3.55E-01,9.297215087E-1,0.00E+00
2.709354125E0,-8.35E-01,-1.30E-01,-3.71E-01,9.225042804E-1,0.00E+00
2.719354125E0,-8.82E-01,3.081307232E-2,-4.23E-01,9.786831652E-1,0.00E+00
2.729355125E0,-9.66E-01,1.515010652E-1,-3.40E-01,1.034901729E0,0.00E+00
2.739356125E0,-9.58E-01,2.740794629E-1,-2.56E-01,1.028478190E0,0.00E+00
2.749356125E0,-9.10E-01,4.344671264E-1,-1.20E-01,1.015068395E0,0.00E+00
2.759357125E0,-9.54E-01,6.363095024E-1,1.294012213E-1,1.153892264E0,0.00E+00
2.769357125E0,-1.00E+00,7.955262610E-1,4.006611568E-1,1.341758649E0,0.00E+00
2.779358125E0,-9.81E-01,8.745288688E-1,6.021757963E-1,1.445531020E0,0.00E+00
2.789358125E0,-9.38E-01,1.062853944E0,7.408439773E-1,1.599282612E0,0.00E+00
2.799359125E0,-9.42E-01,1.312410184E0,9.285834539E-1,1.863350974E0,0.00E+00
2.809360125E0,-7.92E-01,1.516307564E0,1.292597479E0,2.144027633E0,0.00E+00
2.819360125E0,-4.62E-01,1.585225772E0,1.684067105E0,2.358416945E0,0.00E+00
2.829361125E0,-4.74E-02,1.518946413E0,1.889893481E0,2.425107497E0,0.00E+00
