Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
8.701197010E-1,3.618700027E0,-2.31E+00,-3.13E+00,5.311534981E0,0.00E+00
8.801197010E-1,3.294799805E0,-2.63E+00,-2.87E+00,5.095357835E0,0.00E+00
8.901212630E-1,3.139899969E0,-2.78E+00,-2.53E+00,4.901123000E0,0.00E+00
9.001212630E-1,2.973799944E0,-3.11E+00,-2.16E+00,4.812387813E0,0.00E+00
9.101197010E-1,4.450699806E0,-6.70E-01,-1.83E+00,4.858028780E0,0.00E+00
9.201197010E-1,2.612900019E0,-4.59E+00,-2.13E+00,5.696152710E0,0.00E+00
9.301197010E-1,8.470999599E-1,-4.99E+00,-1.04E+00,5.168861660E0,0.00E+00
9.401197010E-1,2.216300011E0,-3.72E+00,-2.07E+00,4.800145540E0,0.00E+00
9.501197010E-1,-8.21E-01,-7.88E+00,-1.98E+00,8.166448575E0,0.00E+00
9.601212630E-1,-4.70E-01,-7.79E+00,-3.00E+00,8.362062709E0,0.00E+00
9.701212630E-1,9.687999487E-1,-5.99E+00,-3.06E+00,6.800793389E0,0.00E+00
9.801197010E-1,2.483700037E0,-3.57E+00,-4.54E+00,6.286803665E0,0.00E+00
9.901197010E-1,3.136600018E0,-3.01E+00,-6.08E+00,7.478772802E0,0.00E+00
1.000119701E0,1.835899949E0,-4.75E+00,-6.48E+00,8.241844405E0,0.00E+00
1.010119701E0,4.169999808E-2,-6.42E+00,-6.58E+00,9.192935042E0,0.00E+00
1.020119701E0,-8.06E-01,-7.62E+00,-5.96E+00,9.712950400E0,0.00E+00
1.030121263E0,-1.49E+00,-8.70E+00,-4.97E+00,1.012601374E1,0.00E+00
1.040121263E0,-2.32E+00,-9.94E+00,-4.62E+00,1.120118036E1,0.00E+00
1.050119701E0,-2.38E+00,-1.03E+01,-4.28E+00,1.141498719E1,0.00E+00
1.060119701E0,-1.25E+00,-9.91E+00,-3.64E+00,1.063385062E1,0.00E+00
1.070119701E0,5.112000108E-1,-9.00E+00,-2.56E+00,9.369730315E0,0.00E+00
1.080121263E0,1.690599918E0,-7.75E+00,-9.16E-01,7.983749962E0,0.00E+00
1.090119701E0,2.215299845E0,-6.60E+00,4.937999845E-1,6.977841330E0,0.00E+00
1.100121263E0,1.934499979E0,-6.36E+00,3.460099936E0,7.492239727E0,0.00E+00
1.110119701E0,9.951999784E-1,-6.92E+00,4.921099663E0,8.548938640E0,0.00E+00
1.120119701E0,2.777000070E-1,-7.21E+00,5.194099903E0,8.893276881E0,0.00E+00
1.130119701E0,5.381000042E-1,-7.63E+00,4.645199776E0,8.950860619E0,0.00E+00
